chunk_id,file_name,paragraph_range,section_type,topic,summary,keywords,priority,recommended_blog_section,recommended_use_order
01,01_feloria_chat_chunk_01.md,1-241,overview,project_origin_and_prompting,"Feloria 초기 아이디어 단계. 고양이 몬스터 수집 RPG 컨셉, 안티그래비티용 웹게임 프롬프트, 100종 몬스터/200개 스킬/세계관/스타터/체육관/전설 이벤트 등 대형 요구사항이 집중된 기획 블록.",project intro; monster tamer; antigravity prompt; feloria; cats; starter; gym; legendary,high,프로젝트 개요 / 왜 만들었는가,1
02,02_feloria_chat_chunk_02.md,242-611,design,rpgmaker_style_reboot,"기존 대규모 포켓몬식 설계에서 방향을 틀어 쯔꾸르 감성 탑다운 고양이 RPG로 재정의한 프롬프트. 마을, 숲, 동굴, 대화, 퀘스트, 저장, 스타터 선택 등 실제 플레이 흐름 중심의 재설계.",rpgmaker; top-down; village; quest; save; dialogue; reboot,high,프로젝트 방향 전환 / 장르 재정의,2
03,03_feloria_chat_chunk_03.md,612-669,design,phaser_upgrade_plan,"기존 React+TS+Vite 게임을 Phaser 기반 탑다운 몬스터 테이밍 RPG로 업그레이드하라는 지시. 참고 레포 기반 구조화, 씬 구성, 기술적 전환 이유를 파악하기 좋음.",phaser; upgrade; architecture; scene; refactor,high,기술 전환 / Phaser 도입,3
04,04_feloria_chat_chunk_04.md,670-936,system,battle_pacing_and_readability,"전투 템포, 로그 가독성, 데미지/상성 피드백, 배틀 UX 개선 지시가 중심. 전투 연출과 플레이 감각을 다듬는 과정 설명에 적합.",battle pacing; battle log; readability; feedback; combat ux,high,핵심 시스템 구현 / 전투 UX,8
05,05_feloria_chat_chunk_05.md,937-1216,narrative,storyline_and_progression,"포켓몬 골드류의 진행 구조를 참고하되 독창적 퀘스트/스토리 라인으로 바꾸려는 내용. 메인 흐름, 동기부여, 지역 진행, 장기 목표를 블로그 서사에 연결하기 좋음.",storyline; questline; progression; structure; chapter,medium,스토리 구조 / 플레이 루프,9
06,06_feloria_chat_chunk_06.md,1217-1288,asset,asset_integration_tilesets_maps,"기존 프로젝트 자산과 타일셋을 실제 맵 렌더링에 연결하는 지시. 다운로드된 에셋, 타일셋 사용 규칙, 맵 생성 및 렌더링 전환이 핵심.",tileset; assets; map generation; rendering; integration,high,그래픽 자산 연동 / 맵 구현,5
07,07_feloria_chat_chunk_07.md,1289-1438,data,map_json_shadowvale,"Shadowvale Ruins 등 실제 맵 JSON 데이터 블록. 타일 범례, 레이어, 충돌/오브젝트 등 맵 설계의 구체 예시로 활용 가능.",map json; shadowvale ruins; tile legend; layers; collision,medium,데이터 설계 / 맵 데이터,6
08,08_feloria_chat_chunk_08.md,1439-1626,data,npc_dialogue_quest_text,"맵별 NPC 대사와 상호작용 텍스트가 정리된 데이터 블록. 세계관 밀도, 퀘스트 분위기, RPG 텍스트 제작 과정을 설명할 때 유용.",npc dialogue; quest text; mapNpcDialogues; worldbuilding,medium,콘텐츠 제작 / NPC와 대사,10
09,09_feloria_chat_chunk_09.md,1627-1970,design,phaser_refactor_with_reference,업로드된 레퍼런스 프로젝트를 기준으로 Feloria를 Phaser 탑다운 몬스터 테이밍 RPG로 리팩터링하는 장문의 지시. 구조 비교와 재설계 rationale 설명에 좋음.,phaser refactor; reference project; architecture; top-down,high,기술 재구성 / 레퍼런스 기반 리팩터링,4
10,10_feloria_chat_chunk_10.md,1971-2081,design,full_restart_from_scratch,기존 깨진 렌더러와 임시 구조를 버리고 프로젝트를 새로 시작하라는 선언적 리스타트 프롬프트. 왜 재시작이 필요했는지 회고에 적합.,restart; from scratch; renderer; reset; architecture reboot,high,개발 전환점 / 전면 재시작,4
11,11_feloria_chat_chunk_11.md,2082-2263,critique,overworld_quality_gap,현재 오버월드가 실제 탐험 가능한 RPG처럼 보이지 않는다는 구체적 문제 제기와 개선 요구. 시행착오와 품질 기준을 서술할 때 중요.,overworld; placeholder; critique; quality bar; map feel,high,문제 진단 / 무엇이 부족했는가,5
12,12_feloria_chat_chunk_12.md,2264-2372,system,phase5_leveling_party_evolution,"레벨링, 파티 관리, 진화 시스템 중심의 Phase 5 설계. 성장 구조, 팀 관리, 장기 플레이 동기 설계 설명에 적합.",leveling; party; evolution; progression; phase 5,high,핵심 시스템 구현 / 성장과 진화,11
13,13_feloria_chat_chunk_13.md,2373-2472,content,phase6_first_real_content,"고립된 메커닉을 실제 첫 챕터형 플레이 콘텐츠로 연결하는 확장 단계. 맵, 이벤트, 흐름, 지역 연결 등 ‘게임다움’이 생기는 구간.",phase 6; first chapter; content expansion; events,high,콘텐츠 확장 / 첫 플레이 구간,12
14,14_feloria_chat_chunk_14.md,2473-2730,system,items_gold_inventory,"아이템 사용, 야생 골드 드롭, 인벤토리 게임플레이를 다루는 단계. 경제 시스템과 편의성 설계 설명에 적합.",items; gold; inventory; economy; drops,high,핵심 시스템 구현 / 경제와 아이템,13
15,15_feloria_chat_chunk_15.md,2731-2955,roadmap,later_phase_plan_and_priority,"Save/Load, 그래픽, 콘텐츠, 사운드, 애니메이션 등 후속 우선순위를 재정리한 로드맵성 블록. 개발 우선순위 조정 회고에 유용.",roadmap; save load; graphics; animation; priority,medium,개발 로드맵 / 우선순위 정리,14
16,16_feloria_chat_chunk_16.md,2956-3209,content,phase10_boss_and_region,첫 보스 챕터와 신규 지역 확장 단계. 안정된 기반 위에 보스전과 지역 스케일을 넓힌 흐름을 설명할 수 있음.,boss chapter; new region; expansion; phase 10,medium,콘텐츠 확장 / 보스와 신규 지역,15
17,17_feloria_chat_chunk_17.md,3210-3273,world,npc_roles_world_reactivity,"NPC 역할 분화, 월드 반응성, 챕터 구조화에 대한 설계 블록. 살아있는 세계감을 어떻게 만들려 했는지 설명하기 좋음.",npc roles; world reactivity; chapter structure,medium,월드 빌딩 / 반응형 세계,16
18,18_feloria_chat_chunk_18.md,3274-3498,presentation,cinematics_boss_legendary_fx,"시네마틱 이벤트, 보스 연출, 전설 각성, 레벨업/진화 이펙트 등 연출 강화 단계. 후반 polish나 몰입감 개선 섹션에 적합.",cinematic; boss presentation; legendary awakening; effects,medium,연출 강화 / 몰입감 개선,17
19,19_feloria_chat_chunk_19.md,3499-3558,data,creatures_master_list,고양이 기반 몬스터 마스터 리스트 JS. 전체 크리처 데이터 구조와 도감/전투/파티 데이터 기반 설계 설명에 필수.,creatures.js; master list; data-driven; monster roster,high,데이터 설계 / 크리처 데이터,7
20,20_feloria_chat_chunk_20.md,3559-3764,data,new_creatures_dataset,31번 이후 신규 크리처 세트 등 구체 데이터 추가 블록. 데이터 확장성과 콘텐츠 생산 방식을 보여주기 좋음.,new creatures; dataset; balance; content scaling,medium,데이터 확장 / 몬스터 추가,12
21,21_feloria_chat_chunk_21.md,3765-3888,asset,graphics_usage_rules,그래픽 에셋 팩 사용 규칙. 어떤 이미지를 어디에 써야 하는지 추측하지 말라는 룰이 포함돼 있어 자산 관리 기준을 설명하기 좋음.,graphics asset rules; usage; sprite sheets; ui assets,medium,자산 관리 / 사용 규칙,6
22,22_feloria_chat_chunk_22.md,3889-4204,polish,graphics_fixes_ui_polish,RPG 스타일 캐릭터 시트와 UI 폴리시를 고치는 패스. 시각적 일관성과 품질 개선 과정을 설명할 때 유용.,graphics fixes; ui polish; character sheet; polish pass,medium,폴리시 / 시각 개선,18
23,23_feloria_chat_chunk_23.md,4205-4483,code,scene_and_runtime_code,Phaser scene 코드와 데이터 연결이 들어 있는 실코드 블록. 구조 설명이나 코드 예시 근거로 사용 가능.,phaser code; scene; runtime; world; battle,high,구현 상세 / 실제 코드 구조,7
24,24_feloria_chat_chunk_24.md,4484-4840,data,asset_paths_and_sprite_registry,스프라이트 경로와 assetPaths/registry 정의. 에셋 시스템이 데이터 중심으로 정리된 방식 설명에 유용.,asset paths; sprite registry; preload; assets config,medium,구현 상세 / 에셋 레지스트리,7
25,25_feloria_chat_chunk_25.md,4841-4929,content,sprite_linking_region_deployment,"100개 크리처 PNG 연결, 지역별 배치, 전설 복선 설계. 아트 자산이 실제 게임 콘텐츠에 매핑되는 과정을 설명하기 좋음.",sprite linking; regional deployment; legendary foreshadowing,medium,콘텐츠 확장 / 배치와 복선,15
26,26_feloria_chat_chunk_26.md,4930-5133,design,combat_preservation_and_type_expansion,기존 전투 동작을 보존하면서 타입/시스템을 확장하라는 지시. 리팩터링 시 안정성 유지 전략 설명에 적합.,preserve combat; type expansion; refactor safety,medium,리팩터링 전략 / 기존 기능 보존,8
27,27_feloria_chat_chunk_27.md,5134-5249,system,centralized_audio,중앙 오디오 시스템 구현 승인 및 구조 설계. BGM/SE 분리와 게임 완성도 향상 포인트 설명에 적합.,audio manager; bgm; se; centralized audio,medium,완성도 개선 / 사운드 시스템,18
28,28_feloria_chat_chunk_28.md,5250-5528,data,improved_map_json_mosslight,Mosslight Path 등 개선판 전체 맵 JSON. 후반부 맵 품질 개선과 직접 수정 가능한 데이터 설계를 보여주는 근거.,mosslight path; improved map json; tilemap revision,medium,데이터 설계 / 맵 개선,16
